school,district,ncesid,title_1_school_status,lat,long,total_enroll,bipoc_enroll,bipoc_pct,white_enroll
MOUNTAIN IRON-BUHL SECONDARY,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2700001,2-Title I targeted assistance school,47.51859,-92.594951,262,41,0.15648854961832062,221
MOUNTAIN LAKE ELEMENTARY,MOUNTAIN LAKE PUBLIC SCHOOLS,2723010,5-Title I schoolwide school,43.9419,-94.9256,262,124,0.4732824427480916,138
MOUNTAIN LAKE SECONDARY,MOUNTAIN LAKE PUBLIC SCHOOLS,2723010,5-Title I schoolwide school,43.9416,-94.9272,246,93,0.3780487804878049,153
MTS HIGH SCHOOL,Minnesota Transitions Charter Sch,2700117,5-Title I schoolwide school,44.950685,-93.237587,254,244,0.9606299212598425,10
MURDOCK ELEMENTARY,KERKHOVEN-MURDOCK-SUNBURG,2717120,5-Title I schoolwide school,45.2262,-95.3924,426,83,0.19483568075117372,343
MURPHY ELEMENTARY,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2713170,5-Title I schoolwide school,47.241,-93.5197,331,62,0.18731117824773413,269
MURRAY CO. CENTRAL ELEMENTARY,MURRAY COUNTY CENTRAL SCHOOL DIST.,2700090,2-Title I targeted assistance school,43.9874,-95.765,409,32,0.07823960880195599,377
MURRAY COUNTY CENTRAL SECONDARY,MURRAY COUNTY CENTRAL SCHOOL DIST.,2700090,2-Title I targeted assistance school,43.985,-95.7572,324,15,0.046296296296296294,309
MURRAY MIDDLE SCHOOL,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,5-Title I schoolwide school,44.984539,-93.193204,757,517,0.6829590488771466,240
MYERS-WILKINS ELEMENTARY,DULUTH PUBLIC SCHOOL DISTRICT,2711040,5-Title I schoolwide school,46.801734,-92.100391,371,226,0.6091644204851752,145
"NASHA SHKOLA CHARTER SCHOOL","NASHA SHKOLA CHARTER SCHOOL",2700378,5-Title I schoolwide school,45.108411,-93.367563,124,4,0.03225806451612903,120
